query_id,pred_id,similarity,correct
id_6811,id_6811,0.6294,True
id_6811,id_6811,0.4403,True
id_6811,id_9668,0.4422,False
id_6811,id_6811,0.6466,True
id_6811,id_6811,0.5667,True
id_6811,id_9931,0.3952,False
id_6811,id_6811,0.7406,True
id_6811,id_6811,0.6278,True
id_6811,id_6811,0.5109,True
id_6811,id_6811,0.7100,True
id_6811,id_6811,0.7273,True
id_6811,id_6811,0.6628,True
id_6811,id_6811,0.7743,True
id_6811,id_9271,0.4022,False
id_6811,id_6811,0.7135,True
id_6811,id_6811,0.5473,True
id_6811,id_6811,0.7804,True
id_6811,id_6811,0.7008,True
id_6811,id_6811,0.7094,True
id_6811,id_6811,0.7501,True
id_6811,id_6811,0.7227,True
id_6811,id_6811,0.5024,True
id_6811,id_6811,0.7072,True
id_6811,id_6811,0.6191,True
id_6811,id_6811,0.4780,True
id_6811,id_6811,0.7393,True
id_6811,id_6811,0.7013,True
id_6811,id_6811,0.5444,True
id_6811,id_6811,0.4503,True
id_6811,id_6811,0.7435,True
id_6811,id_6811,0.7017,True
id_6811,id_3750,0.3908,False
id_6811,id_6811,0.7323,True
id_6811,id_6811,0.7245,True
id_6811,id_6811,0.6689,True
id_6811,id_6811,0.6608,True
id_6811,id_6811,0.6677,True
id_6811,id_6811,0.4811,True
id_6811,id_6811,0.6248,True
id_6811,id_7270,0.4884,False
id_6811,id_5043,0.4907,False
id_6811,id_6811,0.6432,True
id_6811,id_6811,0.6571,True
id_6811,id_6811,0.6544,True
id_6811,id_5596,0.3804,False
id_6811,id_6811,0.6185,True
id_6811,id_6811,0.5941,True
id_6811,id_6811,0.4750,True
id_6811,id_10419,0.3319,False
id_6811,id_4968,0.4640,False
id_6811,id_6811,0.5247,True
id_6811,id_6288,0.4988,False
id_6811,id_6811,0.6059,True
id_6811,id_6811,0.4500,True
id_6811,id_6811,0.6021,True
id_6811,id_6811,0.7478,True
id_6811,id_6811,0.5101,True
id_6811,id_6816,0.3595,False
id_6811,id_6811,0.6669,True
id_6811,id_6811,0.6586,True
id_6811,id_6811,0.6870,True
id_6811,id_6811,0.6670,True
id_6811,id_6811,0.5689,True
id_6811,id_6811,0.7433,True
id_6811,id_4317,0.4496,False
id_6811,id_6811,0.6582,True
id_6811,id_6811,0.7491,True
id_6811,id_6811,0.5399,True
id_6811,id_4285,0.3406,False
id_6811,id_6811,0.6237,True
id_6811,id_4515,0.4619,False
id_6811,id_6811,0.7616,True
id_6811,id_5422,0.4206,False
id_6811,id_6811,0.6677,True
id_6811,id_3238,0.3890,False
id_6811,id_6811,0.7431,True
id_6811,id_6811,0.5861,True
id_6811,id_6811,0.7381,True
id_6811,id_6811,0.7437,True
id_6811,id_6811,0.6907,True
id_6811,id_6811,0.4706,True
id_6811,id_4968,0.4025,False
id_6811,id_6811,0.6686,True
id_6811,id_7019,0.3502,False
id_6811,id_6816,0.4272,False
id_6811,id_6811,0.6372,True
id_6811,id_6811,0.5919,True
id_6811,id_6811,0.7167,True
id_6811,id_8423,0.2924,False
id_6811,id_1627,0.3909,False
id_6811,id_6811,0.6715,True
id_6811,id_6811,0.4676,True
id_6811,id_6811,0.7428,True
id_6811,id_6811,0.7435,True
id_6811,id_6811,0.6957,True
id_6811,id_6811,0.4537,True
id_6811,id_6811,0.6706,True
id_6811,id_5043,0.5721,False
id_6811,id_6811,0.6898,True
id_6811,id_9037,0.3558,False
id_6811,id_6811,0.5799,True
id_6811,id_6811,0.5905,True
id_6811,id_6811,0.6727,True
id_6811,id_4317,0.4557,False
id_6811,id_5714,0.3240,False
id_6811,id_2103,0.3066,False
id_6811,id_6811,0.4227,True
id_6811,id_6811,0.5277,True
id_6811,id_6407,0.3386,False
id_6811,id_6811,0.7419,True
id_6811,id_6811,0.5292,True
id_6811,id_6811,0.7367,True
id_6811,id_6811,0.4640,True
id_6811,id_6811,0.7443,True
id_6811,id_6811,0.7448,True
id_6811,id_1255,0.3243,False
id_6811,id_6811,0.5274,True
id_6811,id_6811,0.4897,True
id_6811,id_6594,0.4412,False
id_6811,id_6811,0.3694,True
id_6811,id_10419,0.4777,False
id_6811,id_7925,0.3868,False
id_6811,id_9873,0.4326,False
id_6811,id_6811,0.5408,True
id_6811,id_6811,0.6366,True
id_6811,id_6811,0.5037,True
id_6811,id_8977,0.3735,False
id_6811,id_6811,0.6632,True
id_6811,id_6811,0.7554,True
id_6811,id_6811,0.5493,True
id_6811,id_6811,0.6739,True
id_6811,id_5235,0.4330,False
id_6811,id_7069,0.5626,False
id_6811,id_6811,0.6550,True
id_6811,id_4317,0.5052,False
id_6811,id_2751,0.3900,False
id_6811,id_6811,0.6875,True
id_6811,id_6811,0.6587,True
id_6811,id_6811,0.6450,True
id_6811,id_6811,0.6964,True
id_6811,id_6811,0.5217,True
id_6811,id_6811,0.6644,True
id_6811,id_6811,0.7330,True
id_6811,id_1627,0.4878,False
id_6811,id_4968,0.4911,False
id_6811,id_6811,0.5701,True
id_6811,id_10571,0.4226,False
id_6811,id_6811,0.6254,True
id_6811,id_6811,0.6772,True
id_6811,id_4317,0.4688,False
id_6811,id_6811,0.5680,True
id_6811,id_7019,0.4760,False
id_6811,id_6811,0.6576,True
id_6811,id_6811,0.7427,True
id_6811,id_6811,0.7338,True
id_6811,id_6811,0.5715,True
id_6811,id_6811,0.7325,True
id_6811,id_10110,0.4133,False
id_6811,id_6302,0.3719,False
id_6811,id_6811,0.6882,True
id_6811,id_6811,0.6388,True
id_6811,id_6811,0.4873,True
id_6811,id_6811,0.6561,True
id_6811,id_6811,0.6063,True
id_6811,id_6811,0.7148,True
id_6811,id_8021,0.3951,False
id_6811,id_6811,0.7138,True
id_6811,id_6811,0.7735,True
id_6811,id_6811,0.6011,True
id_9267,id_8547,0.3690,False
id_9267,id_9267,0.5646,True
id_9267,id_6284,0.4041,False
id_9267,id_9267,0.5509,True
id_9267,id_9599,0.3743,False
id_9267,id_5687,0.3586,False
id_9267,id_1924,0.4534,False
id_9267,id_10079,0.4024,False
id_9598,id_9598,0.4976,True
id_9598,id_8870,0.4119,False
id_9598,id_9598,0.4596,True
id_9598,id_4135,0.4053,False
id_9598,id_9598,0.5480,True
id_9598,id_9598,0.6064,True
id_9598,id_9598,0.4530,True
id_9598,id_9598,0.5256,True
